Month,Rainfall (cm)
2002-12,2.1
2003-01,0.7
2003-02,50.9
2003-03,82.1
2003-04,134.4
2003-05,91
2003-06,566.7
2003-07,532
2003-08,350.3
2003-09,93.6
2003-10,407
2003-11,76.4
2003-12,9.7
2004-01,2.4
2004-02,8.1
2004-03,37.9
2004-04,113.2
2004-05,610.9
2004-06,673.4
2004-07,385.4
2004-08,417.9
2004-09,192.8
2004-10,320.6
2004-11,120.7
2004-12,2.7
2005-01,19.8
2005-02,7
2005-03,25.3
2005-04,205.9
2005-05,134.8
2005-06,619.2
2005-07,832.7
2005-08,291
2005-09,414.7
2005-10,240.1
2005-11,184.3
2005-12,56.4
2006-01,8.1
2006-02,0.5
2006-03,90.7
2006-04,65.3
2006-05,521.2
2006-06,482.4
2006-07,804
2006-08,432.6
2006-09,474.8
2006-10,376.4
2006-11,162.8
2006-12,1.8
2007-01,0.5
2007-02,5.6
2007-03,7.3
2007-04,138.5
2007-05,192.7
2007-06,705.9
2007-07,966.3
2007-08,489.6
2007-09,526.7
2007-10,357.2
2007-11,87.4
2007-12,11.9
2008-01,0.8
2008-02,30.3
2008-03,217.2
2008-04,108.4
2008-05,81.2
2008-06,469.9
2008-07,505.1
2008-08,349
2008-09,347
2008-10,343.4
2008-11,55.4
2008-12,17
2009-01,3.3
2009-02,1.5
2009-03,62.6
2009-04,69
2009-05,191.6
2009-06,438.2
2009-07,924.9
2009-08,269.3
2009-09,326.5
2009-10,205.2
2009-11,274.4
2009-12,44.2
2010-01,18.6
2010-02,1
2010-03,31.4
2010-04,138.9
2010-05,190.6
2010-06,667.5
2010-07,629
2010-08,356
2010-09,275.6
2010-10,441.4
2010-11,335.1
2010-12,46.8
2011-01,20.5
2011-02,45.7
2011-03,24.1
2011-04,165.2
2011-05,124.2
2011-06,788.5
2011-07,536.8
2011-08,492.7
2011-09,391.2
2011-10,227.2
2011-11,169.7
2011-12,49.5
2012-01,7.4
2012-02,11
2012-03,21
2012-04,171.1
2012-05,95.3
2012-06,430.3
2012-07,362.6
2012-08,501.6
2012-09,241.1
2012-10,187.5
2012-11,112.9
2012-12,9.4
2013-01,3.9
2013-02,40.1
2013-03,49.9
2013-04,49.3
2013-05,119.3
2013-06,1042.7
2013-07,830.2
2013-08,369.7
2013-09,318.6
2013-10,259.9
2013-11,154.9
2013-12,17
2014-01,4.6
2014-02,10.3
2014-03,17.9
2014-04,95.7
2014-05,251
2014-06,454.4
2014-07,677.8
2014-08,733.9
2014-09,298.8
2014-10,355.5
2014-11,99.5
2014-12,47.2
2015-01,3.1
2015-02,5.8
2015-03,50.1
2015-04,214.1
2015-05,201.8
2015-06,563.6
2015-07,406
2015-08,252.2
2015-09,292.9
2015-10,308.1
2015-11,223.6
2015-12,79.4
2016-01,3
2016-02,16.4
2016-03,22.4
2016-04,33.3
2016-05,258.4
2016-06,595.7
2016-07,441.5
2016-08,231
2016-09,84.1
2016-10,105.1
2016-11,57.9
2016-12,22
2017-01,12.7
2017-02,0.3
2017-03,87.8
2017-04,52.8
2017-05,213.3
2017-06,579.8
2017-07,378.5
2017-08,462.6
2017-09,435.5
2017-10,228
2017-11,152.1
2017-12,61.4
